goal,arrays_score,strings_score,graphs_score,dp_score,trees_score,backtracking_score,contest_rating,acceptance_rate,problems_solved
Google SDE,14,84,20,11,88,2,1334,62.73562531355641,226
Zoho,60,88,13,65,33,83,1540,57.15688741031779,773
Amazon SDE,59,87,96,7,34,4,1440,51.14389645701152,197
Campus Placement,49,27,20,80,84,45,949,78.82517843989687,389
Infosys,60,65,41,3,95,42,1576,75.61786486108943,502
Infosys,61,70,20,43,76,68,1107,34.220461286322504,1074
Interview Preparation,39,74,65,64,37,65,1045,84.21511928669713,1190
Zoho,35,93,18,5,49,50,1415,42.64913116349282,24
Competitive Programming,38,82,19,61,93,89,1276,41.84366630380466,74
Google SDE,15,5,2,39,11,15,1160,81.90989354741981,530
Competitive Programming,55,59,34,85,96,39,1283,54.46413353827676,1377
Infosys,27,40,82,34,29,48,1180,74.29505869765373,1162
Competitive Programming,34,79,14,49,43,95,1864,45.85112534631582,657
Microsoft,31,82,17,39,86,65,1494,78.02441138306884,1096
Zoho,51,25,21,10,88,90,1352,75.77676209542983,1172
Infosys,46,14,56,65,93,44,1627,58.57132693891415,602
Amazon SDE,87,33,92,17,95,78,1343,68.77807779190098,401
Amazon SDE,62,13,58,72,93,22,1322,83.02154885546275,428
Competitive Programming,20,68,58,69,91,85,1679,54.862499196010454,298
Infosys,82,83,16,33,1,83,1191,57.18126810686488,388
Zoho,31,11,10,11,73,0,1093,69.75420636955988,240
TCS,33,36,1,20,99,34,1596,51.25346083610265,1027
Campus Placement,51,70,9,59,8,92,1449,82.86763485743944,50
Competitive Programming,81,97,85,89,70,21,1446,32.2239673437527,1061
Campus Placement,10,31,16,9,11,28,1294,52.18578426850699,144
Campus Placement,74,8,89,15,33,61,1578,69.26180868720891,210
Campus Placement,81,36,46,78,78,85,988,53.61593442018604,789
Zoho,0,8,66,22,48,10,818,44.25867351170286,939
TCS,39,18,37,20,50,84,1280,52.739978665678336,1066
Campus Placement,0,75,50,60,11,74,1588,78.48342386825848,1081
Microsoft,23,63,21,42,5,85,1773,60.08539888974224,512
TCS,40,7,83,15,25,50,1564,48.43106060555833,416
Campus Placement,85,11,98,57,68,45,1123,66.93376412969289,814
Google SDE,70,36,58,10,48,8,1125,63.65147835082299,108
Campus Placement,80,15,78,83,50,6,1763,60.8245748466259,693
Infosys,48,2,9,20,73,3,1671,51.513649890984965,735
Competitive Programming,11,7,32,15,84,34,1564,33.97101691916321,970
Campus Placement,64,10,86,74,91,11,1676,64.14023223119256,622
Zoho,66,81,5,32,40,90,1450,53.08838198760486,1495
TCS,93,73,30,85,10,92,1337,53.58202485397079,652
Infosys,86,96,25,88,46,15,1351,42.874423904648104,1038
Google SDE,58,14,12,32,13,49,1591,43.71810002275578,1251
Infosys,71,22,15,97,15,53,1471,73.31037178811671,512
Interview Preparation,16,11,35,14,43,76,810,56.365063748987566,776
Competitive Programming,5,91,92,64,57,70,1664,36.011385006420554,407
TCS,59,2,86,3,20,60,1575,32.52180306913516,880
TCS,55,60,75,80,13,93,0,42.35935070033629,804
Google SDE,11,64,35,91,75,9,1822,56.80929821831829,402
Microsoft,20,34,44,31,25,36,1157,63.9487551521261,216
Interview Preparation,74,0,24,7,72,38,1080,37.90233238997978,1048
Campus Placement,65,99,23,35,2,29,1550,53.862247552552034,901
Competitive Programming,19,93,90,99,87,99,1172,33.9903700524905,1494
Interview Preparation,63,93,96,82,48,45,1899,32.07492384124062,873
Microsoft,19,73,18,55,40,75,1192,77.48413666174665,752
TCS,94,13,64,87,18,96,1184,66.2083820800371,1274
Zoho,35,87,28,2,11,46,1279,72.96015819818936,573
Zoho,61,83,92,13,54,64,1310,40.00325845262789,1030
TCS,23,83,44,95,1,22,1289,47.71867257710496,105
TCS,85,32,61,75,27,24,1321,54.40852167666621,494
Zoho,8,75,42,94,41,15,1291,66.19188896254721,1440
Infosys,57,50,16,33,64,76,933,59.41640722693513,240
Campus Placement,48,68,59,94,28,34,1551,60.33014863457622,758
Competitive Programming,80,86,93,35,2,63,1269,38.63185668287421,1204
Microsoft,97,15,24,95,86,56,1354,56.113285878285545,550
Zoho,52,40,96,34,7,72,1035,75.30890584354287,1069
Amazon SDE,10,90,33,31,77,92,942,58.020346881170546,534
Amazon SDE,5,72,40,79,27,75,1371,40.985799494939315,1193
TCS,58,13,13,0,41,48,1866,52.736845437185835,1276
Amazon SDE,50,28,56,51,84,34,1856,71.51447492050792,1119
Interview Preparation,48,13,25,12,2,56,1127,37.42458307571579,587
Microsoft,86,94,17,74,59,54,1177,61.925486178101586,691
Interview Preparation,46,6,19,74,50,67,1451,83.09230950391967,566
TCS,44,43,70,24,77,4,600,50.916605038435456,1022
Google SDE,48,8,29,63,18,88,1224,32.40026837408082,655
Interview Preparation,39,60,28,4,3,27,1466,64.82072022108547,805
Campus Placement,89,77,65,62,86,45,1331,32.59069334364784,1061
Infosys,8,59,11,84,6,15,830,40.538311539683505,1373
Amazon SDE,7,82,20,98,40,83,851,32.66185018839782,1364
Microsoft,48,52,73,75,15,6,970,39.38578370594662,1381
TCS,51,97,33,51,64,36,1376,77.02127195550622,1264
TCS,25,73,37,45,52,16,1149,70.41682247272092,199
TCS,11,46,96,76,54,16,1867,48.801895134487566,1258
Microsoft,96,15,69,66,19,26,999,79.34258018512034,1418
Zoho,63,46,59,75,89,20,1768,66.5850218654046,1410
Infosys,70,36,84,46,3,33,1039,54.6260627627896,1316
Microsoft,79,22,55,33,36,57,2154,33.75830846786357,642
Competitive Programming,25,30,58,19,81,48,1598,70.1896752680322,637
Microsoft,88,57,55,38,80,83,734,50.65393690465816,982
Zoho,34,62,91,51,21,63,1765,46.655595233450555,1292
Infosys,92,1,57,49,43,31,1261,45.85501573614395,1392
Campus Placement,49,85,72,67,97,52,1678,30.424007426943497,719
Microsoft,91,3,84,40,60,37,1396,70.84548615409604,1489
Interview Preparation,15,96,73,42,71,21,1293,37.99206853595031,1444
TCS,82,21,54,48,45,14,1323,58.63546613753415,658
TCS,39,56,28,70,25,99,1048,30.884477110232236,327
Interview Preparation,5,30,79,46,2,49,1267,64.53358083589197,1258
Microsoft,90,75,82,56,88,91,1012,50.32207918096172,1267
Google SDE,66,96,31,66,54,65,1258,64.69110982508715,693
Microsoft,97,53,11,45,36,63,1458,34.94422208588635,673
TCS,16,19,23,40,46,96,1717,44.64836152879698,1407
Campus Placement,31,40,41,76,47,36,1845,36.066873613510175,1266
Campus Placement,23,8,64,28,35,21,1396,65.53389278558076,1146
Microsoft,98,47,46,40,14,91,1062,35.97044227327958,451
Interview Preparation,34,22,42,84,6,73,1384,63.94062163434572,573
Competitive Programming,95,32,41,45,30,79,1351,37.407975904055874,1301
TCS,52,82,96,24,60,49,1795,81.88450330708108,1419
Google SDE,14,32,45,2,45,13,1662,52.900937257262186,1420
Zoho,36,68,12,29,14,50,1469,36.962454376684406,1146
Competitive Programming,24,62,28,85,12,58,1856,32.29957477182823,961
Competitive Programming,84,52,1,1,21,98,1248,48.11824046187846,1114
Amazon SDE,77,20,56,8,49,90,1588,79.02625333555947,708
Amazon SDE,22,63,63,57,51,10,1248,37.90983390673888,122
Zoho,54,31,39,3,55,6,1258,73.49576371458357,11
Infosys,6,63,10,71,43,39,779,52.955450569902666,651
Microsoft,4,40,50,18,86,42,1430,74.16103179063042,229
Amazon SDE,77,82,50,84,66,60,1438,78.08602418668464,864
Zoho,82,45,74,13,19,33,1358,84.87996566840417,1258
Infosys,70,21,94,0,82,4,1536,33.75086121484869,394
TCS,71,17,4,19,45,23,1699,73.79656933991201,1436
Amazon SDE,67,99,54,82,47,89,1394,33.83288860615096,1163
Zoho,5,24,48,79,29,34,1581,47.31359914784478,1086
Infosys,9,99,66,73,41,85,1512,65.54277400526479,739
Infosys,49,79,53,65,95,40,1722,54.600863925652,1449
Infosys,13,89,81,64,40,67,1559,61.089128139779916,256
Interview Preparation,12,76,93,7,29,83,1946,83.1405666509599,845
Competitive Programming,70,95,20,8,23,2,1479,75.02612170188091,1472
Campus Placement,20,66,74,38,11,60,1118,50.00182564494387,212
Zoho,96,99,76,63,43,99,1778,62.99695491390571,1217
Microsoft,10,18,76,56,52,3,1592,32.666566542039945,132
Microsoft,5,77,59,81,16,69,1542,54.90940304275562,410
Microsoft,35,20,66,14,72,49,937,63.46180944663341,776
TCS,74,95,15,79,78,75,1846,69.30944211369801,303
Infosys,54,49,25,84,24,64,1700,79.58345088290807,289
Zoho,33,23,77,24,11,87,1494,45.568202844000524,893
Amazon SDE,93,60,3,87,77,82,545,79.61937384098144,207
Campus Placement,72,79,89,15,83,67,1298,66.38351838359031,991
Campus Placement,70,71,14,48,45,94,1973,34.27051472542406,761
Amazon SDE,45,59,20,72,48,67,1543,50.91830861623035,153
Microsoft,36,92,59,78,44,83,1037,56.212731530617525,618
Infosys,59,50,40,47,36,55,1232,49.38679961681402,1234
Zoho,17,49,76,76,26,35,1280,36.37668185668014,1157
TCS,48,56,76,59,29,66,1738,60.33715095332393,196
Interview Preparation,92,68,37,60,24,91,947,37.24643862751247,1359
Interview Preparation,84,13,57,43,91,53,1717,80.3264963532433,473
Infosys,13,23,17,23,80,28,1636,77.58891834443784,1382
Amazon SDE,15,9,47,50,25,81,2072,56.13686122807076,669
Infosys,25,68,63,32,70,73,1559,33.72617553547147,773
Google SDE,94,44,79,11,46,62,1028,60.37129753235623,964
Campus Placement,50,53,47,9,38,75,1385,62.57301910267544,412
Google SDE,74,10,74,30,83,76,1102,78.86325397341888,1379
Google SDE,95,96,89,55,7,61,1516,33.71346343666688,156
Competitive Programming,89,92,64,3,27,86,1922,68.0657625046104,1181
Competitive Programming,62,97,95,35,14,32,1142,60.95426903264299,873
TCS,32,65,64,9,80,65,1679,39.6125993521692,498
Infosys,59,40,51,66,90,29,1214,36.69533962227543,938
Campus Placement,36,54,47,21,25,34,934,68.167295679355,560
Interview Preparation,10,47,6,84,52,29,1879,48.690148306993514,347
Campus Placement,19,47,61,37,14,19,1469,84.99668328251451,881
Interview Preparation,76,40,13,45,54,89,1547,79.17017377338101,650
TCS,33,87,17,66,12,50,1658,61.11446103182112,482
Amazon SDE,59,57,12,28,19,97,889,65.29523721586656,160
Zoho,96,38,88,50,80,45,0,38.73876094508908,1448
Campus Placement,57,84,76,59,88,53,907,79.17025853510006,1331
Google SDE,42,71,99,58,84,87,1242,55.24135758895389,272
Interview Preparation,67,9,16,4,7,16,1744,58.674469979446755,153
Google SDE,53,52,36,2,16,97,1534,78.02209973674479,355
Amazon SDE,71,74,48,63,99,83,1214,30.343768121643492,633
TCS,59,59,93,93,33,51,1407,57.18906303736139,1026
Google SDE,10,77,80,46,47,5,1356,64.47216591103722,890
Infosys,65,68,9,39,9,98,1493,38.76205025024193,11
Google SDE,21,49,79,7,94,7,1212,33.756522193981525,906
Infosys,3,24,97,55,77,90,1363,59.42137751859209,1337
Infosys,41,25,22,76,74,47,1445,60.11409816411398,263
Google SDE,88,37,14,53,74,1,1527,48.16377782870798,462
Google SDE,51,43,70,83,28,8,1465,78.52272023680302,1070
Infosys,43,44,34,76,15,86,908,46.55965225647729,1193
Interview Preparation,14,97,81,5,18,87,1022,58.406371106067034,1024
Zoho,75,93,78,73,85,85,1587,40.26932714420152,18
Zoho,96,16,57,52,23,13,1323,30.613816801473906,1266
Google SDE,31,52,42,25,42,20,1266,53.431531953330975,1132
Zoho,69,35,23,69,55,75,1324,58.98216052958594,825
Campus Placement,0,96,38,25,38,38,1324,72.0573920978791,217
Zoho,19,94,58,27,8,99,869,54.68246133638421,1164
Infosys,68,17,72,75,92,96,1918,45.33026988656215,413
TCS,36,11,72,52,47,53,1366,63.23301694942308,161
Campus Placement,50,69,32,60,32,54,1404,50.964634413254544,63
Microsoft,1,10,33,39,41,64,1423,42.83835980753489,1153
Microsoft,77,25,22,67,90,22,1688,80.06913925149793,637
TCS,16,40,55,87,91,42,1605,59.5179936229967,596
Zoho,49,7,44,14,33,58,1377,41.026249905082736,1453
TCS,81,95,95,87,44,49,1138,66.90012338507051,1455
Amazon SDE,16,86,20,12,35,66,1771,74.16926876630905,113
Zoho,30,4,63,66,31,86,1416,71.71935655125867,263
Infosys,55,93,85,90,81,49,1578,62.97455760721656,1260
Campus Placement,30,67,1,44,25,61,1074,58.57918988818979,1145
Competitive Programming,35,36,43,78,79,77,1594,72.75280256849562,519
TCS,18,46,8,25,95,72,972,68.9467212261527,108
Google SDE,60,5,89,55,32,53,1280,61.43124150314957,162
Google SDE,31,21,83,22,87,42,1439,66.17463106164017,923
Microsoft,80,89,40,38,42,26,1921,39.27442144577638,887
Zoho,87,28,78,96,5,46,1597,31.096344601437888,347
Infosys,3,28,39,20,51,79,1831,81.21248565175064,831
TCS,68,68,57,13,59,24,1538,81.44065823559684,1196
TCS,46,18,99,12,77,27,1067,73.33839295393584,966
Interview Preparation,40,2,84,31,83,63,1068,50.47673113780345,170
Interview Preparation,0,39,78,11,89,24,1628,38.29128829648255,810
Microsoft,89,77,22,62,77,30,1099,49.65326665815374,407
Interview Preparation,41,46,68,51,58,86,936,69.94284067162312,1310
Amazon SDE,66,59,33,73,43,74,1107,48.43599808437484,825
Zoho,22,39,23,21,23,45,1480,73.7752118690393,1425
Competitive Programming,12,86,25,46,70,33,1161,67.01573174806768,1168
Interview Preparation,85,26,71,24,66,11,1776,64.64887863871112,1228
TCS,94,63,7,92,39,90,1528,81.16302656620843,410
Google SDE,60,12,69,70,89,26,1456,79.13789596029503,649
Competitive Programming,71,85,89,34,19,53,1516,69.1416006774423,1066
Competitive Programming,29,10,33,92,24,44,1581,40.95861433430956,697
Interview Preparation,45,78,51,79,93,19,1585,81.64083235966172,469
Infosys,75,92,43,71,31,72,1154,42.491734836181294,964
Interview Preparation,85,78,90,50,70,71,1778,50.49207354229627,479
Competitive Programming,42,24,78,58,51,48,1588,75.47296464528179,1408
TCS,14,84,81,72,84,12,1281,41.47614092745304,1055
Zoho,29,42,65,19,20,40,1631,65.12317820661184,759
Campus Placement,59,54,24,18,48,64,1000,55.1810009182266,47
Infosys,23,72,47,15,22,56,1656,64.32183199130995,239
Zoho,24,88,8,61,63,64,1486,82.69279240432687,1398
Google SDE,52,27,15,28,11,41,756,74.46003533961672,572
Interview Preparation,57,86,68,97,67,54,1999,46.2702449838045,447
Zoho,1,28,24,91,82,33,1007,33.15008467351363,1316
Microsoft,64,93,43,33,4,30,1572,83.18743830845483,36
Infosys,83,88,86,80,64,3,1824,62.18448345561212,235
Google SDE,44,83,3,3,94,62,615,39.520782667588534,1310
Competitive Programming,43,34,94,54,63,78,1469,64.49097712371807,807
Interview Preparation,25,0,43,51,42,60,1665,32.32190503635723,293
Zoho,7,45,82,97,47,14,1734,40.31370989738304,888
Campus Placement,82,23,71,29,1,55,1765,64.79467312158002,969
Amazon SDE,30,92,35,58,65,55,1677,52.13625221991069,462
Google SDE,78,88,40,63,74,83,1299,47.880044994222914,1029
Zoho,51,18,16,37,72,3,1537,66.0522057451692,825
TCS,1,18,68,29,66,85,2003,77.65219342362933,668
Competitive Programming,65,32,18,94,32,57,1779,67.32251046017879,556
Google SDE,49,52,15,42,22,13,1199,55.489224233372695,1225
Google SDE,92,86,60,95,81,84,1719,66.23751070932353,1082
TCS,96,54,10,55,61,24,1806,68.26087186577726,26
Google SDE,9,51,1,97,73,84,1136,72.62778411277046,1205
Microsoft,45,98,4,81,58,7,1393,46.88766110292458,1253
Interview Preparation,57,91,98,5,94,25,1314,36.29385345976376,167
Interview Preparation,84,40,63,2,79,45,1677,67.50340331169133,486
Infosys,84,66,16,39,26,73,1277,36.65966262495377,1079
Interview Preparation,12,43,60,77,67,97,1211,55.41080421631956,1406
Competitive Programming,50,11,78,37,42,12,1727,42.688589818397354,527
Microsoft,79,71,86,16,53,15,1038,48.26390737531252,108
Competitive Programming,82,33,53,50,64,28,1455,55.8843534194095,1070
Campus Placement,87,69,42,26,45,52,1181,79.28971479929902,289
Interview Preparation,57,46,81,36,11,95,1727,67.42330341593264,1382
Campus Placement,61,65,36,25,54,17,1216,39.44001820315062,506
TCS,22,20,66,77,57,28,1411,78.36960875612303,311
TCS,3,74,33,59,8,17,682,57.52986526558864,190
Zoho,30,32,87,99,92,3,1400,41.233969227369386,616
Google SDE,7,12,65,87,45,22,1347,59.00909934997276,1132
TCS,24,42,83,20,36,80,1421,40.500912012678185,709
Zoho,53,78,71,64,64,30,1790,50.202880619941695,1002
Amazon SDE,86,11,27,61,82,82,1579,74.30381193617401,1149
Google SDE,10,22,57,41,76,34,1518,66.22385486535997,200
Google SDE,91,81,72,95,63,43,1178,56.2868070505363,262
Interview Preparation,44,88,29,62,72,92,2041,42.454163772004065,990
Google SDE,86,92,59,74,21,99,848,45.51931763773442,937
Campus Placement,44,59,53,57,24,26,1041,83.80300251973875,1194
Microsoft,59,19,74,80,8,21,1170,48.86152196536589,1289
Google SDE,63,53,84,61,34,73,1457,63.887015285955876,1356
Competitive Programming,42,82,51,66,52,48,1413,57.48615031839069,137
Google SDE,63,99,78,28,45,23,1173,31.270724819286354,27
Interview Preparation,46,77,59,18,45,69,1452,81.95711374728143,575
Microsoft,99,33,48,96,62,86,1747,34.836109404378206,579
Interview Preparation,60,41,90,4,56,28,1416,66.22892592501853,1356
Microsoft,97,42,44,65,72,94,1022,74.60633408501215,695
Interview Preparation,47,93,89,8,6,21,1368,71.1804081077247,635
Infosys,74,52,52,40,80,2,1154,74.50876746564674,1321
Google SDE,7,9,51,24,75,36,980,70.68460112753752,863
Amazon SDE,33,71,63,83,72,35,1411,54.50646918263603,971
Microsoft,7,65,85,74,5,5,1128,79.29510256226334,164
Campus Placement,51,85,37,11,87,16,1300,80.18425988444304,499
Microsoft,80,23,70,64,18,1,1526,54.032518283403164,1419
Microsoft,85,69,3,87,54,85,1496,56.662699230631105,794
Campus Placement,7,4,48,80,63,41,1761,56.71055183230733,1137
Campus Placement,61,93,66,15,80,69,883,45.339655061634666,1426
Zoho,64,29,24,54,77,23,1338,36.321514337104304,255
Amazon SDE,13,95,84,37,64,87,1703,44.40887375990444,1209
Competitive Programming,68,2,63,42,55,15,896,76.42570946528173,1072
Competitive Programming,90,75,23,7,81,35,1348,59.86809253285638,768
Infosys,47,25,64,52,93,33,1460,76.76089817962574,547
Amazon SDE,86,75,51,60,87,50,1071,70.98390656198225,930
Microsoft,11,33,50,87,79,6,1197,49.17379830286461,417
Infosys,63,72,70,69,17,54,1043,40.192187524396,534
Infosys,29,71,24,45,10,48,1483,61.1970896771483,837
Amazon SDE,7,21,68,8,63,21,650,81.47211880951619,912
Campus Placement,65,46,49,66,33,46,1170,76.16783637257753,45
Google SDE,68,58,11,99,37,20,1184,72.01095209283369,694
Competitive Programming,76,72,99,22,65,80,1672,72.02957449850378,29
Infosys,80,87,19,30,35,84,931,59.02643124705679,330
Amazon SDE,34,75,53,33,26,90,1788,39.32395028180516,521
Google SDE,78,75,11,34,7,55,1624,45.7049508258962,409
Infosys,11,52,27,47,79,20,1713,61.78410613307422,663
Google SDE,98,45,49,80,78,85,1271,47.39943837209128,981
Zoho,66,54,18,20,0,40,1274,72.9861717464791,480
Interview Preparation,9,17,53,66,89,91,1163,50.52692186273798,1176
Microsoft,1,16,61,37,94,89,1574,36.26430638307118,1125
TCS,14,39,6,52,99,74,1294,73.03993941682998,1387
Microsoft,62,36,67,34,66,24,1157,68.39716008000961,843
Competitive Programming,6,30,86,97,64,3,1293,43.92362694004151,736
TCS,19,8,92,13,3,11,1511,83.96133763386248,863
Infosys,59,95,40,79,9,2,1020,52.17542379831161,60
Infosys,7,18,98,57,96,6,1114,67.42533704275328,584
Zoho,89,52,79,67,70,37,1804,80.07466421457431,1223
Zoho,57,41,40,72,78,53,1127,38.57981235728498,1158
Amazon SDE,7,99,81,37,72,61,1834,78.34619848688607,159
Infosys,29,2,94,14,68,56,1241,68.71520754469205,323
Zoho,83,87,43,53,32,46,993,39.21595256756697,579
Infosys,53,35,35,64,41,54,1811,66.54817001337898,1375
Competitive Programming,53,89,57,9,28,21,1923,78.10165897596653,314
Interview Preparation,94,83,10,10,62,60,1225,73.94584743912715,691
Interview Preparation,28,77,22,94,24,32,1727,71.83338348836986,847
Amazon SDE,52,58,86,35,18,99,1430,38.87348815832928,1087
TCS,93,95,11,97,80,1,1447,40.4843260789159,1012
Campus Placement,30,7,66,56,28,37,1494,60.12440502417614,453
Amazon SDE,3,52,83,37,84,1,1406,61.90803091582515,622
Infosys,28,36,86,80,78,4,1430,81.89932349901943,1002
Amazon SDE,43,74,34,67,89,19,1401,55.77747340611055,273
Infosys,93,69,96,36,2,45,1227,46.63764339937546,1086
Campus Placement,21,36,65,17,29,94,1187,40.49251011768419,1013
TCS,95,31,43,38,80,44,1055,32.979402573175044,14
Google SDE,11,32,52,35,5,44,834,33.77594659369572,1136
Google SDE,29,45,36,39,76,85,1372,61.57918095079074,1229
Infosys,4,80,23,6,70,26,1147,39.69440769455457,783
Infosys,65,60,82,75,40,78,908,76.83894024704578,886
Amazon SDE,69,53,88,18,79,30,1153,62.805950088527766,1001
Interview Preparation,34,97,4,36,4,51,1240,77.56876068187347,893
Campus Placement,73,98,73,7,80,12,1235,53.51040077427264,1383
Competitive Programming,79,37,28,73,64,5,1817,62.76773472509548,56
Google SDE,47,49,50,35,72,92,1221,58.89855667283305,876
Infosys,85,21,71,70,49,88,1833,84.26722123148298,832
Interview Preparation,50,62,17,91,76,24,1174,73.82509412838033,945
Amazon SDE,77,65,28,40,91,3,1544,62.74700452073534,665
TCS,15,57,76,42,20,70,1099,63.362229412028405,278
Competitive Programming,47,95,32,81,70,10,1914,43.68409419615652,379
