problems_solved,easy_solved,medium_solved,hard_solved,arrays_count,strings_count,graphs_count,dp_count,trees_count,contest_rating,contest_count,acceptance_rate,current_streak,room_participations,room_wins,placement_score
1096,486,313,297,167,173,141,66,206,1494,67,78.02441138306884,156,1,0,61
1172,529,323,320,251,246,13,20,146,1352,57,75.77676209542983,128,30,10,52
602,371,133,98,178,116,79,31,49,1627,23,58.57132693891415,286,43,0,33
401,230,97,74,76,69,10,11,43,1343,79,68.77807779190098,282,19,12,40
428,204,127,97,123,54,47,59,60,1322,61,83.02154885546275,290,5,3,31
298,178,75,45,84,65,20,11,31,1679,80,54.862499196010454,7,42,30,28
388,157,152,79,58,54,40,11,60,1191,66,57.18126810686488,39,18,5,27
240,130,59,51,43,53,23,23,40,1093,2,69.75420636955988,199,17,10,18
1027,617,244,166,234,196,33,85,83,1596,50,51.25346083610265,133,29,11,58
50,29,10,11,10,7,4,4,5,1449,98,82.86763485743944,142,6,4,24
1061,511,275,275,126,112,51,75,205,1446,66,32.2239673437527,276,16,12,54
144,63,48,33,43,19,12,10,12,1294,79,52.18578426850699,197,3,1,25
210,81,72,57,52,49,23,24,21,1578,56,69.26180868720891,309,2,0,34
789,479,196,114,147,175,16,32,43,988,19,53.61593442018604,344,24,17,39
939,432,315,192,209,174,77,61,93,818,44,44.25867351170286,229,29,5,45
1066,445,319,302,125,181,102,153,112,1280,5,52.739978665678336,90,35,5,55
1081,516,422,143,215,213,55,39,70,1588,32,78.48342386825848,105,13,5,53
512,223,173,116,146,87,73,26,25,1773,42,60.08539888974224,86,40,26,51
416,161,157,98,116,81,34,15,56,1564,49,48.43106060555833,274,22,1,35
814,324,280,210,136,118,28,10,77,1123,26,66.93376412969289,91,49,30,57
108,48,31,29,22,24,2,5,5,1125,29,63.65147835082299,255,49,37,33
693,375,160,158,165,142,59,11,124,1763,98,60.8245748466259,33,15,6,37
735,415,204,116,123,109,45,23,101,1671,17,51.513649890984965,57,27,4,46
970,466,376,128,109,217,35,58,73,1564,29,33.97101691916321,198,11,5,48
622,277,229,116,125,107,8,8,111,1676,89,64.14023223119256,242,7,1,32
1495,725,502,268,329,188,133,172,131,1450,14,53.08838198760486,259,29,9,63
652,299,201,152,65,72,61,79,54,1337,95,53.58202485397079,177,40,22,43
1038,505,254,279,123,212,30,70,191,1351,98,42.874423904648104,20,49,14,53
1251,524,431,296,176,287,117,184,96,1591,75,43.71810002275578,59,37,14,75
512,273,154,85,86,113,73,53,93,1471,61,73.31037178811671,170,45,19,38
776,329,252,195,161,153,114,88,132,810,20,56.365063748987566,44,5,1,53
407,174,138,95,64,49,54,15,39,1664,11,36.011385006420554,41,38,2,38
880,348,317,215,136,100,108,111,48,1575,48,32.52180306913516,176,4,1,53
804,425,224,155,220,122,31,114,50,0,0,42.35935070033629,195,2,0,33
402,164,128,110,51,91,12,17,26,1822,74,56.80929821831829,2,9,3,47
216,92,74,50,43,52,15,22,39,1157,54,63.9487551521261,294,29,4,25
1048,499,350,199,304,142,101,120,115,1080,24,37.90233238997978,47,15,0,50
901,481,239,181,202,193,116,47,49,1550,46,53.862247552552034,148,10,6,55
1494,705,485,304,363,278,63,114,199,1172,72,33.9903700524905,229,2,0,58
873,410,282,181,162,91,67,20,70,1899,38,32.07492384124062,17,14,10,52
752,388,241,123,78,136,75,25,64,1192,26,77.48413666174665,242,43,33,46
1274,540,488,246,292,281,92,23,94,1184,92,66.2083820800371,105,0,0,63
573,222,231,120,129,81,42,50,94,1279,49,72.96015819818936,162,12,4,41
1030,549,214,267,125,241,42,100,51,1310,90,40.00325845262789,31,47,7,57
105,54,31,20,20,14,15,14,12,1289,54,47.71867257710496,121,38,11,22
494,196,215,83,139,55,37,42,31,1321,27,54.40852167666621,102,38,23,32
1440,559,531,350,203,178,121,66,191,1291,56,66.19188896254721,185,37,28,84
240,139,55,46,46,54,9,4,24,933,81,59.41640722693513,222,2,0,17
758,403,142,213,145,123,62,101,41,1551,78,60.33014863457622,349,29,14,53
1204,549,317,338,315,264,55,92,143,1269,15,38.63185668287421,45,43,32,67
550,239,204,107,145,98,21,62,74,1354,86,56.113285878285545,125,40,4,42
1069,525,310,234,269,183,51,12,93,1035,93,75.30890584354287,147,25,12,60
534,264,180,90,92,118,5,41,88,942,99,58.020346881170546,359,10,4,30
1193,580,387,226,136,195,107,66,126,1371,55,40.985799494939315,25,5,0,52
1276,703,344,229,216,281,81,18,207,1866,34,52.736845437185835,138,11,6,51
1119,486,419,214,264,128,151,132,153,1856,27,71.51447492050792,193,15,1,66
587,274,175,138,141,114,9,48,105,1127,45,37.42458307571579,358,21,1,22
691,288,210,193,202,141,11,39,91,1177,66,61.925486178101586,215,21,8,38
566,343,156,67,107,132,75,69,44,1451,15,83.09230950391967,349,37,8,42
1022,543,352,127,231,136,28,74,177,600,78,50.916605038435456,36,11,3,48
655,293,226,136,136,124,6,6,109,1224,82,32.40026837408082,214,35,3,34
805,364,229,212,104,132,28,114,157,1466,73,64.82072022108547,174,49,17,58
1061,555,253,253,203,167,132,48,67,1331,48,32.59069334364784,113,16,5,54
1373,697,451,225,286,159,168,173,190,830,67,40.538311539683505,302,39,30,66
1364,679,415,270,395,163,78,169,168,851,21,32.66185018839782,153,31,17,66
1381,663,501,217,239,311,142,45,208,970,17,39.38578370594662,280,44,32,65
1264,651,411,202,374,268,102,96,249,1376,21,77.02127195550622,276,36,22,63
199,86,71,42,41,31,27,3,25,1149,15,70.41682247272092,298,2,1,31
1258,580,478,200,186,282,22,75,192,1867,55,48.801895134487566,278,24,16,61
1418,650,555,213,196,158,175,159,144,999,2,79.34258018512034,64,18,3,63
1410,580,597,233,180,273,47,60,133,1768,52,66.5850218654046,316,36,12,64
1316,703,370,243,250,302,85,34,131,1039,34,54.6260627627896,329,49,34,60
642,349,175,118,67,144,23,52,35,2154,79,33.75830846786357,88,37,1,45
637,340,168,129,120,99,69,54,59,1598,84,70.1896752680322,85,40,1,46
982,516,310,156,292,207,103,102,74,734,20,50.65393690465816,238,48,24,48
1292,607,441,244,302,212,112,150,153,1765,64,46.655595233450555,199,42,30,71
1392,730,394,268,350,314,149,149,165,1261,56,45.85501573614395,104,46,29,72
719,416,173,130,89,129,71,92,118,1678,93,30.424007426943497,63,18,11,51
1489,696,453,340,289,319,176,61,186,1396,46,70.84548615409604,203,15,4,57
1444,876,331,237,227,161,62,129,172,1293,33,37.99206853595031,175,25,11,52
658,368,146,144,183,124,46,39,55,1323,47,58.63546613753415,38,32,19,48
327,150,94,83,44,59,10,47,58,1048,38,30.884477110232236,139,14,8,24
1258,623,328,307,241,240,88,90,80,1267,86,64.53358083589197,138,36,16,69
1267,561,492,214,275,258,137,182,250,1012,97,50.32207918096172,47,19,12,56
693,321,256,116,140,164,74,81,84,1258,29,64.69110982508715,135,4,0,43
673,348,233,92,179,146,73,74,52,1458,49,34.94422208588635,306,47,35,40
1407,632,510,265,205,187,74,110,145,1717,96,44.64836152879698,100,39,27,75
1266,669,345,252,222,283,130,91,66,1845,15,36.066873613510175,240,23,0,62
1146,596,278,272,296,135,70,95,85,1396,93,65.53389278558076,207,5,1,52
451,190,164,97,92,87,64,23,45,1062,2,35.97044227327958,209,11,8,35
573,306,158,109,103,133,33,78,76,1384,60,63.94062163434572,107,3,1,42
1301,614,428,259,137,149,122,157,90,1351,1,37.407975904055874,340,47,3,62
1419,773,372,274,355,322,163,173,214,1795,25,81.88450330708108,67,42,32,79
1420,642,526,252,418,312,194,100,250,1662,17,52.900937257262186,70,12,3,77
1146,552,326,268,256,201,81,22,155,1469,65,36.962454376684406,97,46,18,61
961,497,317,147,260,140,58,101,90,1856,39,32.29957477182823,108,20,10,54
1114,538,354,222,226,179,78,69,75,1248,2,48.11824046187846,163,4,2,48
708,342,229,137,103,173,39,93,37,1588,16,79.02625333555947,356,12,8,59
122,63,44,15,12,15,12,14,19,1248,23,37.90983390673888,285,1,0,19
11,5,4,2,2,2,1,0,1,1258,1,73.49576371458357,89,43,32,34
651,235,253,163,129,73,18,61,79,779,69,52.955450569902666,74,5,0,33
229,102,75,52,58,30,20,24,14,1430,39,74.16103179063042,28,28,20,31
864,396,246,222,206,185,117,77,70,1438,25,78.08602418668464,2,22,3,53
1258,591,414,253,374,182,30,103,216,1358,56,84.87996566840417,317,34,24,68
394,256,79,59,79,97,31,16,48,1536,48,33.75086121484869,10,9,1,29
1436,721,437,278,266,251,188,61,279,1699,56,73.79656933991201,72,19,10,78
1163,585,363,215,182,206,158,136,232,1394,55,33.83288860615096,217,24,15,61
1086,528,430,128,212,114,89,13,184,1581,69,47.31359914784478,117,35,10,55
739,373,222,144,202,179,9,87,65,1512,75,65.54277400526479,186,9,0,48
1449,752,398,299,157,182,35,121,122,1722,20,54.600863925652,255,26,7,62
256,171,46,39,75,46,23,36,22,1559,15,61.089128139779916,71,6,0,24
845,365,358,122,252,134,23,126,167,1946,5,83.1405666509599,212,49,25,54
1472,913,346,213,323,238,45,151,147,1479,33,75.02612170188091,71,20,11,70
212,93,68,51,35,41,25,14,33,1118,58,50.00182564494387,297,21,4,30
1217,696,292,229,175,242,140,93,235,1778,66,62.99695491390571,310,45,23,66
132,58,37,37,20,16,16,5,22,1592,40,32.666566542039945,261,17,0,26
410,232,104,74,45,71,10,9,57,1542,18,54.90940304275562,276,0,0,30
776,483,172,121,151,169,29,70,58,937,28,63.46180944663341,247,24,7,42
303,140,93,70,33,50,38,37,23,1846,31,69.30944211369801,86,20,7,52
289,152,86,51,70,36,32,13,35,1700,9,79.58345088290807,209,48,0,42
893,473,243,177,155,131,109,61,172,1494,63,45.568202844000524,218,29,13,59
207,85,72,50,28,27,30,18,38,545,90,79.61937384098144,130,31,20,34
991,586,253,152,207,117,129,135,74,1298,92,66.38351838359031,249,34,11,58
761,389,184,188,224,119,63,22,70,1973,76,34.27051472542406,267,46,27,59
153,74,50,29,36,27,8,6,21,1543,19,50.91830861623035,83,13,1,22
618,229,232,157,122,68,55,85,75,1037,27,56.212731530617525,18,38,16,47
1234,641,447,146,315,235,122,19,83,1232,26,49.38679961681402,22,41,25,53
1157,539,341,277,286,288,65,117,121,1280,76,36.37668185668014,50,24,13,67
196,97,49,50,54,47,23,19,37,1738,24,60.33715095332393,267,28,17,29
1359,555,503,301,191,304,31,86,261,947,28,37.24643862751247,91,39,22,62
473,231,164,78,128,66,56,35,63,1717,14,80.3264963532433,184,31,3,39
1382,667,512,203,221,142,20,179,200,1636,44,77.58891834443784,289,10,0,68
669,354,191,124,192,150,53,22,55,2072,44,56.13686122807076,249,27,21,53
773,437,190,146,120,83,100,32,124,1559,29,33.72617553547147,79,4,1,36
964,544,197,223,275,126,21,78,55,1028,37,60.37129753235623,318,34,19,50
412,194,110,108,120,74,33,27,34,1385,59,62.57301910267544,131,24,13,44
1379,666,429,284,178,174,44,124,70,1102,31,78.86325397341888,233,40,1,64
156,67,56,33,46,35,21,21,16,1516,49,33.71346343666688,309,6,2,28
1181,726,329,126,138,255,149,163,209,1922,70,68.0657625046104,5,32,13,57
873,467,260,146,125,186,122,36,172,1142,34,60.95426903264299,289,41,26,46
498,185,225,88,94,110,65,26,74,1679,96,39.6125993521692,67,26,20,50
938,467,250,221,280,124,106,30,151,1214,75,36.69533962227543,12,43,9,46
560,290,197,73,110,117,20,78,50,934,86,68.167295679355,200,46,2,31
347,161,107,79,72,53,18,22,44,1879,4,48.690148306993514,292,20,7,35
881,389,252,240,210,176,70,64,141,1469,30,84.99668328251451,205,26,0,53
650,251,262,137,190,76,60,79,80,1547,79,79.17017377338101,228,24,7,34
482,228,161,93,123,99,57,39,30,1658,96,61.11446103182112,210,21,4,44
160,69,55,36,23,39,6,4,25,889,52,65.29523721586656,315,10,1,22
1448,589,506,353,232,154,40,103,120,0,0,38.73876094508908,268,5,0,58
1331,551,496,284,159,151,103,130,86,907,85,79.17025853510006,94,2,0,66
272,136,88,48,62,32,8,30,33,1242,91,55.24135758895389,171,29,7,24
153,78,52,23,20,25,16,15,9,1744,68,58.674469979446755,283,27,19,34
355,189,89,77,53,50,32,9,51,1534,67,78.02209973674479,128,40,2,31
633,277,223,133,175,139,72,33,92,1214,64,30.343768121643492,7,16,9,41
1026,480,340,206,169,175,19,115,90,1407,14,57.18906303736139,322,22,12,61
890,490,256,144,189,153,129,118,173,1356,51,64.47216591103722,249,33,8,58
11,5,3,3,1,2,0,0,1,1493,37,38.76205025024193,66,20,14,20
906,482,248,176,104,139,50,14,60,1212,23,33.756522193981525,273,4,2,36
1337,585,403,349,230,204,140,133,216,1363,22,59.42137751859209,34,49,3,72
263,130,69,64,47,56,4,22,27,1445,46,60.11409816411398,299,43,7,30
462,226,145,91,128,100,10,14,75,1527,6,48.16377782870798,97,14,4,31
1070,506,354,210,176,109,22,92,182,1465,30,78.52272023680302,126,45,34,69
1193,701,334,158,209,145,109,174,86,908,6,46.55965225647729,84,1,0,53
1024,545,343,136,262,135,138,100,152,1022,76,58.406371106067034,210,23,7,55
18,9,5,4,4,2,1,1,3,1587,3,40.26932714420152,42,9,4,9
1266,487,530,249,328,181,119,159,124,1323,53,30.613816801473906,239,19,5,53
1132,652,310,170,329,226,66,45,70,1266,81,53.431531953330975,301,34,19,57
825,525,164,136,213,184,10,56,44,1324,82,58.98216052958594,39,40,21,49
217,116,50,51,39,27,2,18,14,1324,79,72.0573920978791,221,46,2,23
1164,613,359,192,307,214,156,93,58,869,51,54.68246133638421,311,20,6,60
413,198,119,96,83,64,10,57,40,1918,81,45.33026988656215,154,29,18,47
161,76,41,44,25,28,24,8,15,1366,79,63.23301694942308,147,28,14,28
63,34,18,11,10,12,2,1,4,1404,47,50.964634413254544,205,34,12,27
1153,630,354,169,166,269,120,159,170,1423,94,42.83835980753489,312,37,21,65
637,243,210,184,82,82,90,25,126,1688,88,80.06913925149793,11,25,13,58
596,258,226,112,81,67,36,37,110,1605,65,59.5179936229967,240,19,12,45
1453,926,295,232,163,282,163,122,127,1377,53,41.026249905082736,22,35,1,65
1455,843,344,268,404,231,86,213,240,1138,91,66.90012338507051,11,42,17,72
113,65,25,23,32,14,5,9,21,1771,79,74.16926876630905,116,39,20,28
263,145,57,61,57,30,10,19,48,1416,53,71.71935655125867,107,17,9,25
1260,573,325,362,337,231,157,115,230,1578,99,62.97455760721656,171,21,15,70
1145,624,257,264,156,166,52,167,192,1074,44,58.57918988818979,38,12,3,61
519,249,140,130,145,129,25,64,48,1594,39,72.75280256849562,41,14,8,40
108,57,23,28,21,17,16,3,6,972,34,68.9467212261527,221,15,9,14
162,59,69,34,18,21,9,19,19,1280,23,61.43124150314957,47,24,5,13
923,376,342,205,118,179,63,117,53,1439,34,66.17463106164017,346,2,0,55
887,426,245,216,143,121,131,94,177,1921,93,39.27442144577638,343,4,3,63
347,188,97,62,37,60,21,35,36,1597,36,31.096344601437888,322,26,6,27
831,408,225,198,134,143,50,59,161,1831,74,81.21248565175064,34,38,12,56
1196,617,346,233,133,200,150,119,198,1538,33,81.44065823559684,255,32,15,65
966,461,217,288,142,211,51,109,107,1067,23,73.33839295393584,352,39,9,54
170,82,49,39,26,22,7,4,11,1068,92,50.47673113780345,292,37,19,22
810,351,248,211,242,190,56,37,69,1628,3,38.29128829648255,271,3,0,43
407,185,153,69,59,89,43,15,61,1099,49,49.65326665815374,17,42,17,38
1310,772,359,179,193,196,21,167,228,936,93,69.94284067162312,223,37,16,60
825,346,335,144,195,104,51,86,162,1107,77,48.43599808437484,126,49,31,44
1425,582,506,337,387,202,83,104,99,1480,23,73.7752118690393,331,1,0,69
1168,659,277,232,207,175,51,146,85,1161,97,67.01573174806768,297,18,9,56
1228,611,428,189,337,225,124,135,69,1776,35,64.64887863871112,1,17,3,66
410,191,130,89,68,43,20,56,36,1528,78,81.16302656620843,52,10,3,39
649,354,174,121,90,153,61,13,112,1456,34,79.13789596029503,217,34,15,43
1066,649,268,149,176,122,85,86,85,1516,28,69.1416006774423,59,10,2,53
697,344,249,104,154,98,28,75,92,1581,35,40.95861433430956,34,32,24,48
469,265,130,74,81,54,22,18,54,1585,67,81.64083235966172,160,1,0,34
964,466,329,169,226,133,32,53,95,1154,78,42.491734836181294,296,0,0,51
479,314,105,60,70,108,8,32,68,1778,10,50.49207354229627,190,32,10,42
1408,624,451,333,338,270,136,170,176,1588,54,75.47296464528179,344,12,9,77
1055,583,289,183,178,141,109,83,105,1281,48,41.47614092745304,259,26,11,59
759,377,274,108,145,175,25,59,116,1631,78,65.12317820661184,276,0,0,48
47,27,12,8,9,10,4,3,4,1000,56,55.1810009182266,111,41,24,23
239,146,60,33,56,50,35,10,35,1656,84,64.32183199130995,131,28,15,40
1398,512,494,392,206,317,28,194,270,1486,98,82.69279240432687,94,44,1,81
572,255,173,144,152,110,44,31,91,756,86,74.46003533961672,311,39,19,44
447,209,144,94,109,78,50,39,50,1999,54,46.2702449838045,240,21,15,37
1316,627,422,267,193,205,21,40,213,1007,55,33.15008467351363,259,38,25,58
36,14,13,9,10,4,4,2,6,1572,73,83.18743830845483,131,19,13,24
235,122,64,49,54,43,34,32,23,1824,3,62.18448345561212,235,43,15,29
1310,528,508,274,249,305,29,195,204,615,24,39.520782667588534,258,39,14,51
807,450,247,110,106,152,100,48,92,1469,1,64.49097712371807,243,44,28,55
293,155,84,54,60,69,18,9,50,1665,18,32.32190503635723,54,1,0,29
888,331,365,192,118,136,26,47,83,1734,87,40.31370989738304,196,40,24,48
969,479,282,208,180,197,76,54,184,1765,7,64.79467312158002,82,16,6,57
462,268,115,79,83,91,9,46,62,1677,63,52.13625221991069,357,49,10,35
1029,526,368,135,251,206,85,81,105,1299,5,47.880044994222914,287,47,24,49
825,399,266,160,114,162,10,97,93,1537,83,66.0522057451692,313,40,9,54
668,378,190,100,176,89,74,72,68,2003,13,77.65219342362933,190,4,2,48
556,347,140,69,91,67,43,25,39,1779,69,67.32251046017879,216,47,21,48
1225,550,483,192,231,302,90,146,73,1199,75,55.489224233372695,244,25,14,59
1082,624,326,132,275,115,40,139,106,1719,70,66.23751070932353,265,12,5,45
26,13,8,5,5,4,1,2,3,1806,56,68.26087186577726,31,33,20,30
1205,564,451,190,194,197,42,168,125,1136,29,72.62778411277046,260,29,23,64
1253,625,314,314,222,192,141,149,65,1393,79,46.88766110292458,156,43,16,68
167,97,45,25,26,36,6,15,22,1314,7,36.29385345976376,134,40,19,26
486,225,159,102,106,102,46,66,34,1677,13,67.50340331169133,257,1,0,39
1079,501,372,206,179,254,53,101,88,1277,47,36.65966262495377,265,11,8,52
1406,616,480,310,344,224,143,116,95,1211,83,55.41080421631956,52,21,10,70
527,254,179,94,113,97,45,31,67,1727,27,42.688589818397354,311,37,3,43
108,43,37,28,13,25,7,14,6,1038,5,48.26390737531252,39,12,3,18
1070,536,257,277,173,266,111,29,94,1455,29,55.8843534194095,185,47,3,53
289,133,90,66,41,70,19,22,34,1181,3,79.28971479929902,246,24,9,28
1382,832,342,208,246,287,172,117,103,1727,99,67.42330341593264,75,39,8,69
506,222,168,116,102,61,56,44,59,1216,66,39.44001820315062,91,38,10,30
